gender,age,age_cat,educ,know_gov_name,know_sen1_name,know_sen2_name,know_house_name,knowledge,ability
Female,50,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,57,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,61,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,69,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,73,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,66,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,78,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,73,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,58,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,70,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,75,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,52,45-54,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,65,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,69,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,66,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,62,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,75,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,68,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,84,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,58,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,65,65+,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,79,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,63,55-64,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,47,45-54,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,65,65+,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,65,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,46,45-54,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,70,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,59,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,59,55-64,Some coll.,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,70,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,31,25-34,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,69,65+,Some coll.,1,0,0,1,-0.7547958177793298,-0.7547958177793298
Male,74,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,46,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,66,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,70,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,62,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,58,55-64,Some coll.,1,1,0,1,-0.3233082531361229,-0.3233082531361229
Male,67,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,48,45-54,PG,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,39,35-45,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,65,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,72,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,34,25-34,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,60,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,31,25-34,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,48,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,61,55-64,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,61,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,50,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
