"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"male",52,"romania",6,1,NA,5,4,4,4,3,2,4,4,4,5,6,6,6,6,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",43,"sweden",6,1,NA,4,5,5,5,5,5,10,10,10,3,4,2,7,4,3,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",74,"romania",3,0,5,0,3,3,3,3,3,7,7,7,7,7,7,7,7,20,5,3,3,1,0,1,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"female",55,"sweden",3,0,NA,9,2,2,2,3,2,0,0,0,10,6,6,2,2,90,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",74,"sweden",2,0,NA,5,3,3,3,3,3,5,5,1,8,4,5,1,2,40,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",68,"germany",3,0,2,2,5,3,3,5,4,7,7,5,8,1,1,6,6,10,1,3,2,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1
"female",35,"germany",7,1,NA,6,4,5,4,4,4,8,8,8,8,6,6,6,6,60,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",38,"uk",6,1,7,3,4,4,4,5,4,8,8,5,3,2,3,4,6,10,4,3,4,1,0,0,0,1,1,0,0,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1
"female",23,"uk",6,0,1,3,3,3,3,3,3,8,8,8,5,1,1,3,3,10,1,1,1,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"male",26,"sweden",3,1,NA,8,2,2,2,2,3,4,4,2,4,5,6,2,4,8,2,2,4,1,1,1,1,0,1,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"male",47,"romania",7,1,NA,6,4,5,5,4,5,8,8,7,5,1,1,5,7,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",24,"uk",2,1,NA,6,3,4,3,2,4,7,6,7,6,5,5,4,6,50,NA,5,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",70,"sweden",5,0,NA,8,3,5,4,4,3,1,5,2,10,4,5,3,4,26,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",29,"uk",3,1,NA,5,5,5,5,5,5,10,10,7,3,1,1,7,7,15,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",34,"germany",5,1,NA,4,5,5,4,5,4,8,9,7,4,2,2,6,6,33,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",30,"spain",4,1,NA,9,3,3,3,3,2,8,9,9,9,2,4,7,6,30,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,NA,1,1,1
"male",69,"poland",3,0,NA,2,3,3,4,4,3,5,5,5,5,2,4,2,3,5,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",56,"spain",4,0,2,4,3,3,3,3,3,6,3,4,7,2,4,4,4,30,1,3,3,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1
"female",53,"germany",3,0,NA,4,4,4,4,4,4,8,7,7,5,2,5,4,5,20,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",37,"germany",4,1,NA,6,3,4,4,4,4,6,5,5,5,3,3,3,4,15,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",70,"germany",3,0,NA,5,4,5,4,3,3,5,5,2,9,4,4,4,4,10,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",59,"germany",2,1,NA,5,3,4,4,3,3,6,5,5,6,3,3,3,3,20,NA,2,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",19,"spain",4,0,2,5,3,4,3,4,4,8,8,8,8,1,1,3,4,25,2,3,4,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1
"male",60,"spain",6,1,NA,6,5,5,5,5,5,8,8,7,4,1,1,6,6,30,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",36,"spain",5,1,NA,8,4,5,5,4,5,9,7,7,7,4,3,7,5,20,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",33,"uk",7,0,NA,1,4,4,4,4,3,7,7,7,5,2,2,4,6,15,NA,2,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",39,"sweden",6,1,NA,8,3,4,5,4,3,3,8,4,7,5,5,5,4,2,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
