age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,country,epcc_data$education_uk,education_fr,education_no,education_ge,survey_wt,knowledge,knowledge_binary
65plus,female,gcse,no_party,9500_17499,3,1,0,0,3,3,3,3,4,4,5,3,2,NA,gcse,NA,NA,0.7973,-0.49018722391434655,0
15-24,male,no_qual,labour,25000plus,2,1,0,0,2,3,3,4,4,4,5,2,2,NA,no_qual,NA,NA,0.5917,-0.49018722391434655,0
55-64,male,gcse,other,9500_17499,3,1,0,1,2,1,2,4,4,4,5,3,2,NA,gcse,NA,NA,0.7491,0.12751998108451623,0
55-64,female,gcse,labour,up_to_9499,4,1,0,0,2,3,4,4,4,5,4,5,2,NA,gcse,NA,NA,0.362,-0.49018722391434655,0
45-54,female,no_qual,labour,25000plus,3,1,0,0,2,2,1,4,4,1,5,2,2,NA,no_qual,NA,NA,0.9344,-0.49018722391434655,0
45-54,female,degree,cons,25000plus,2,1,0,0,1,1,2,2,2,2,2,3,2,NA,degree,NA,NA,0.973,-0.49018722391434655,0
55-64,female,alevel,lib_dem,25000plus,3,1,0,0,4,5,2,4,3,7,3,4,2,NA,alevel,NA,NA,0.5548,-0.49018722391434655,0
55-64,male,no_qual,labour,17500_24999,1,1,0,0,5,1,1,5,1,5,1,4,2,NA,no_qual,NA,NA,1.0465,-0.49018722391434655,0
35-44,male,degree,labour,25000plus,4,1,0,0,2,3,5,3,5,4,5,5,2,NA,degree,NA,NA,1.2469,-0.49018722391434655,0
25-34,female,gcse,labour,25000plus,4,1,0,0,2,5,3,5,5,5,5,4,2,NA,gcse,NA,NA,0.7826,-0.49018722391434655,0
45-54,female,gcse,other,25000plus,4,1,0,1,1,5,1,1,2,1,2,5,2,NA,gcse,NA,NA,0.9344,0.12751998108451623,0
45-54,male,gcse,no_party,25000plus,5,1,0,0,4,2,2,4,4,5,4,3,2,NA,gcse,NA,NA,0.9126,-0.49018722391434655,0
45-54,male,gcse,no_party,25000plus,3,1,0,1,2,3,4,5,4,4,4,3,2,NA,gcse,NA,NA,0.941,0.12751998108451623,0
55-64,male,degree,no_party,25000plus,3,1,0,0,1,2,1,1,4,2,2,2,2,NA,degree,NA,NA,1.0465,-0.49018722391434655,0
65plus,female,degree,other,9500_17499,3,1,0,0,3,2,5,5,5,5,2,3,2,NA,degree,NA,NA,1.249,-0.49018722391434655,0
65plus,female,gcse,labour,25000plus,2,1,0,0,3,1,1,4,5,5,5,4,2,NA,gcse,NA,NA,1.1208,-0.49018722391434655,0
15-24,female,degree,labour,25000plus,3,1,0,0,3,3,2,4,3,4,3,3,2,NA,degree,NA,NA,1.2189,-0.49018722391434655,0
45-54,male,alevel,other,25000plus,4,1,1,1,3,2,5,5,5,5,4,2,2,NA,alevel,NA,NA,0.9765,0.9984553862772432,1
45-54,male,no_qual,cons,25000plus,4,1,1,0,5,4,5,3,5,3,3,4,2,NA,no_qual,NA,NA,0.752,0.3531676391989697,0
35-44,female,degree,other,25000plus,3,1,0,0,2,5,3,3,4,5,5,4,2,NA,degree,NA,NA,0.9946,-0.49018722391434655,0
65plus,male,gcse,no_party,9500_17499,2,1,0,0,3,1,3,3,3,3,3,3,2,NA,gcse,NA,NA,0.8442,-0.49018722391434655,0
45-54,male,alevel,no_party,25000plus,3,1,0,0,1,2,1,5,5,4,3,3,2,NA,alevel,NA,NA,0.9981,-0.49018722391434655,0
65plus,female,gcse,lib_dem,25000plus,3,1,0,0,2,5,2,5,2,2,5,5,2,NA,gcse,NA,NA,1.1208,-0.49018722391434655,0
35-44,male,degree,lib_dem,25000plus,1,1,0,0,5,2,1,2,1,2,4,3,2,NA,degree,NA,NA,1.0185,-0.49018722391434655,0
35-44,female,degree,labour,25000plus,3,1,1,1,2,3,3,4,4,4,2,3,2,NA,degree,NA,NA,0.9946,0.9984553862772432,1
25-34,female,alevel,no_party,9500_17499,5,1,0,0,4,5,3,4,4,4,4,4,2,NA,alevel,NA,NA,0.7799,-0.49018722391434655,0
